"Order ID","Order Date","Order Quantity","Customer ID","Customer Name","Customer City","Customer Country","Customer Loyalty Card","Product ID","Product Coffee Type","Product Roast Type","Product Size (kg)","Product Unit Price","Product Price per 100g","Product Profit"
"QEV-37451-860","9/5/2019","5","17670-51384-MA","Aloisia Allner","Paterson","United States","Yes","E-M-0.5","Excelca","Medium","0.5","8.25","1.65","0.9075"
"QEV-37451-860","9/5/2019","2","17670-51384-MA","Aloisia Allner","Paterson","United States","Yes","R-M-1","Robusta","Medium","1","9.95","0.995","0.597"
"FAA-43335-268","6/17/2021","1","21125-22134-PX","Jami Redholes","San Antonio","United States","Yes","A-L-1","Arabika","Light","1","12.95","1.295","1.1655"
"KAC-83089-793","7/15/2021","2","23806-46781-OU","Christoffer O' Shea","Cill Airne","Ireland","No","R-L-2.5","Robusta","Light","2.5","27.485","1.0994","1.6491"
"KAC-83089-793","7/15/2021","2","23806-46781-OU","Christoffer O' Shea","Cill Airne","Ireland","No","E-M-1","Excelca","Medium","1","13.75","1.375","1.5125"
"AAQ-13644-699","6/3/2022","4","46296-42617-OQ","Fernando Sulman","Asheville","United States","Yes","R-D-1","Robusta","Dark","1","8.95","0.895","0.537"
"AHQ-40440-522","9/18/2020","1","83833-46106-ZC","Martie Brimilcombe","Springfield","United States","No","A-D-1","Arabika","Dark","1","9.95","0.995","0.8955"
"SNZ-65340-705","5/20/2022","1","21134-81676-FR","Melvin Wharfe","Kill","Ireland","Yes","L-L-0.2","Liberica","Light","0.2","4.755","2.3775","0.61815"
"EZT-46571-659","1/2/2019","3","03396-68805-ZC","Guthrey Petracci","Los Angeles","United States","No","R-M-0.5","Robusta","Medium","0.5","5.97","1.194","0.3582"
"NWQ-70061-912","9/5/2019","1","61021-27840-ZN","Rodger Raven","Los Angeles","United States","No","R-M-0.5","Robusta","Medium","0.5","5.97","1.194","0.3582"
"AJL-52941-018","5/5/2020","2","55871-61935-MF","Lind Conyers","El Paso","United States","No","E-D-1","Excelca","Dark","1","12.15","1.215","1.3365"
"VQR-01002-970","10/28/2020","5","49315-21985-BB","Duky Phizackerly","San Jose","United States","Yes","E-L-2.5","Excelca","Light","2.5","34.155","1.3662","3.75705"
"SZW-48378-399","7/2/2022","5","34136-36674-OM","Rosaleen Scholar","Richmond","United States","No","R-M-1","Robusta","Medium","1","9.95","0.995","0.597"
"AJV-18231-334","7/5/2020","2","23473-41001-CD","Agnes Adamides","Liverpool","United Kingdom","No","R-D-2.5","Robusta","Dark","2.5","20.585","0.8234","1.2351"
"AKV-93064-769","12/12/2019","1","22305-40299-CY","Terry Sheryn","Port Washington","United States","Yes","L-D-0.5","Liberica","Dark","0.5","7.77","1.554","1.0101"
"FYQ-78248-319","6/7/2022","5","25473-43727-BY","Llywellyn Oscroft","Philadelphia","United States","No","R-M-2.5","Robusta","Medium","2.5","22.885","0.9154","1.3731"
"VAU-44387-624","3/20/2019","6","99643-51048-IQ","Minni Alabaster","Portland","United States","No","A-M-0.2","Arabika","Medium","0.2","3.375","1.6875","0.30375"
"RDW-33155-159","10/19/2019","6","62173-15287-CU","Rhianon Broxup","Houston","United States","No","A-L-1","Arabika","Light","1","12.95","1.295","1.1655"
"ALA-62598-016","2/19/2020","6","57145-03803-ZL","Noak Wyvill","Edinburgh","United Kingdom","Yes","R-D-0.2","Robusta","Dark","0.2","2.685","1.3425","0.1611"
"ALR-62963-723","6/21/2020","3","80463-43913-WZ","Malynda Purbrick","Balally","Ireland","Yes","R-D-0.2","Robusta","Dark","0.2","2.685","1.3425","0.1611"
"IDU-25793-399","12/4/2020","5","76664-37050-DT","Aurea Corradino","New York City","United States","Yes","A-M-0.2","Arabika","Medium","0.2","3.375","1.6875","0.30375"
"AMM-79521-378","6/1/2021","6","24825-51803-CQ","Faber Eilhart","Charleston","United States","No","A-D-0.5","Arabika","Dark","0.5","5.97","1.194","0.5373"
"UQU-65630-479","1/22/2021","4","37651-47492-NC","Annabel Antuk","Punta Gorda","United States","Yes","R-M-2.5","Robusta","Medium","2.5","22.885","0.9154","1.3731"
"AMT-40418-362","8/8/2020","1","04513-76520-QO","Jacinthe Balsillie","Roanoke","United States","Yes","L-D-1","Liberica","Dark","1","12.95","1.295","1.6835"
"TKY-71558-096","9/15/2021","1","24010-66714-HW","Chrisy Blofeld","Englewood","United States","No","A-M-1","Arabika","Medium","1","11.25","1.125","1.0125"
"OXY-65322-253","10/24/2020","3","07591-92789-UA","Culley Farris","Punta Gorda","United States","Yes","E-M-0.2","Excelca","Medium","0.2","4.125","2.0625","0.45375"
"EVP-43500-491","2/20/2019","4","49231-44455-IC","Selene Shales","Petaluma","United States","Yes","A-M-0.5","Arabika","Medium","0.5","6.75","1.35","0.6075"
"WAG-26945-689","10/8/2019","5","50124-88608-EO","Vivie Danneil","Tralee","Ireland","No","A-M-0.2","Arabika","Medium","0.2","3.375","1.6875","0.30375"
"AOT-70449-651","6/11/2022","5","53414-73391-CR","Cindra Burling","Schenectady","United States","Yes","R-D-2.5","Robusta","Dark","2.5","20.585","0.8234","1.2351"
"AOX-44467-109","6/15/2021","1","72524-06410-KD","Haslett Jodrelle","Miami","United States","No","A-D-2.5","Arabika","Dark","2.5","22.885","0.9154","2.05965"
"WOQ-36015-429","9/25/2021","6","51427-89175-QJ","Adrian Swaine","Aurora","United States","No","L-M-0.5","Liberica","Medium","0.5","8.73","1.746","1.1349"
"AVK-76526-953","3/4/2021","2","47268-50127-XY","Lynnea Danton","El Paso","United States","No","A-D-1","Arabika","Dark","1","9.95","0.995","0.8955"
"WOQ-36015-429","9/25/2021","5","51427-89175-QJ","Adrian Swaine","Aurora","United States","No","L-M-0.2","Liberica","Medium","0.2","4.365","2.1825","0.56745"
"SCT-60553-454","7/17/2021","5","39123-12846-YJ","Gallard Gatheral","Grand Forks","United States","No","L-L-0.2","Liberica","Light","0.2","4.755","2.3775","0.61815"
"GFK-52063-244","6/29/2020","6","44981-99666-XB","Una Welberry","Upton","United Kingdom","Yes","L-L-0.5","Liberica","Light","0.5","9.51","1.902","1.2363"
"AWP-11469-510","4/11/2020","2","76730-63769-ND","Ryann Stickler","Birmingham","United Kingdom","No","E-D-1","Excelca","Dark","1","12.15","1.215","1.3365"
"QUQ-90580-772","2/6/2021","2","77634-13918-GJ","Zorina Ponting","Little Rock","United States","No","L-M-0.2","Liberica","Medium","0.2","4.365","2.1825","0.56745"
"LGD-24408-274","4/25/2019","3","13694-25001-LX","Silvio Strase","Denver","United States","No","L-L-0.5","Liberica","Light","0.5","9.51","1.902","1.2363"
"HCT-95608-959","4/25/2020","5","08523-01791-TI","Dorie de la Tremoille","Minneapolis","United States","No","R-M-2.5","Robusta","Medium","2.5","22.885","0.9154","1.3731"
"OFX-99147-470","11/24/2021","6","49860-68865-AB","Hy Zanetto","Tucson","United States","Yes","R-M-1","Robusta","Medium","1","9.95","0.995","0.597"
"LUO-37559-016","4/19/2021","3","21240-83132-SP","Jessica McNess","New Orleans","United States","No","L-M-1","Liberica","Medium","1","14.55","1.455","1.8915"
"AXR-10962-010","3/28/2021","2","53683-35977-KI","Myles Seawright","Newton","United Kingdom","No","E-D-1","Excelca","Dark","1","12.15","1.215","1.3365"
"AZF-45991-584","10/12/2019","1","73759-17258-KA","Lora Dukes","Boyle","Ireland","Yes","A-D-2.5","Arabika","Dark","2.5","22.885","0.9154","2.05965"
"ULR-52653-960","10/4/2021","2","04152-34436-IE","Maurie Bartol","Boston","United States","No","L-L-2.5","Liberica","Light","2.5","36.455","1.4582","4.73915"
"HPI-42308-142","4/11/2020","2","06631-86965-XP","Olag Baudassi","Rochester","United States","Yes","E-M-0.5","Excelca","Medium","0.5","8.25","1.65","0.9075"
"BAQ-74241-156","7/24/2020","4","99869-55718-UU","Ransell McKall","Bristol","United Kingdom","Yes","R-D-0.2","Robusta","Dark","0.2","2.685","1.3425","0.1611"
"DJH-05202-380","11/7/2019","2","85589-17020-CX","Donna Baskeyfied","Birmingham","United States","Yes","E-M-2.5","Excelca","Medium","2.5","31.625","1.265","3.47875"
"VMW-26889-781","6/28/2019","2","36078-91009-WU","Arda Curley","San Bernardino","United States","Yes","A-L-0.2","Arabika","Light","0.2","3.885","1.9425","0.34965"
"BGB-67996-089","1/30/2022","5","06279-72603-JE","Rana Sharer","Huntington","United States","No","R-D-1","Robusta","Dark","1","8.95","0.895","0.537"
"PQA-54820-810","8/17/2022","3","91460-04823-BX","Isis Pikett","Washington","United States","No","A-L-1","Arabika","Light","1","12.95","1.295","1.1655"
"BKK-47233-845","3/8/2021","4","76239-90137-UQ","Ferrell Ferber","San Jose","United States","No","A-D-1","Arabika","Dark","1","9.95","0.995","0.8955"
"DWZ-69106-473","5/15/2019","4","76447-50326-IC","Karry Flanders","Crumlin","Ireland","Yes","L-L-2.5","Liberica","Light","2.5","36.455","1.4582","4.73915"
"YHV-68700-050","9/11/2019","2","26333-67911-OL","Hartley Mattioli","Kinloch","United Kingdom","No","L-L-2.5","Liberica","Light","2.5","36.455","1.4582","4.73915"
"YHV-68700-050","9/11/2019","5","26333-67911-OL","Hartley Mattioli","Kinloch","United Kingdom","No","R-M-0.5","Robusta","Medium","0.5","5.97","1.194","0.3582"
"KRB-88066-642","3/16/2021","5","22107-86640-SB","Archambault Gillard","Toledo","United States","No","L-M-1","Liberica","Medium","1","14.55","1.455","1.8915"
"LQU-08404-173","12/3/2020","3","09960-34242-LZ","Salomo Cushworth","Trenton","United States","No","L-L-1","Liberica","Light","1","15.85","1.585","2.0605"
"BMM-86471-923","10/22/2020","1","76319-80715-II","Dallas Yarham","Independence","United States","Yes","L-D-2.5","Liberica","Dark","2.5","29.785","1.1914","3.87205"
"EEG-74197-843","7/17/2022","4","25729-68859-UA","Rozele Relton","Pensacola","United States","No","E-L-1","Excelca","Light","1","14.85","1.485","1.6335"
"BNQ-88920-567","12/30/2019","6","27226-53717-SY","Ilka Gurnee","Salt Lake City","United States","No","L-D-0.2","Liberica","Dark","0.2","3.885","1.9425","0.50505"
